danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01,317707,4
0.44,0.993,1,-1.115,0,0.141,0.000176,0.00123,0.33,0.178,170.196,157412,4
0.588,0.807,2,-3.426,1,0.0283,0.0835,0.0,0.109,0.674,110.014,156200,4
0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,174800,4
0.413,0.679,5,-12.559,0,0.0478,0.21,0.00325,0.0805,0.968,161.679,289307,3
0.655,0.768,4,-5.616,1,0.0365,0.385,0.000257,0.0733,0.431,92.021,180360,4
0.209,0.00759,3,-30.225,1,0.0502,0.991,0.949,0.116,0.0593,65.385,366320,4
0.475,0.392,8,-7.042,1,0.0367,0.79,0.0,0.13,0.28,145.442,239867,4
0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,246467,4
0.405,0.741,0,-7.76,1,0.103,0.416,0.0,0.112,0.406,94.097,166467,4
0.661,0.973,0,-2.994,0,0.037,0.11,1.74e-05,0.617,0.75,108.037,232827,4
0.509,0.987,10,-3.198,0,0.0886,8.05e-05,0.000928,0.119,0.647,138.039,197160,4
0.389,0.762,0,-5.45,0,0.0368,0.501,0.0159,0.123,0.583,143.433,255973,4
0.687,0.792,1,-4.023,0,0.0353,0.000802,0.0,0.2,0.864,133.962,227333,4
0.503,0.995,4,-4.829,1,0.219,0.00016,3.42e-06,0.0459,0.194,180.058,217848,4
0.48,0.928,4,-5.501,1,0.0899,0.169,0.0,0.0479,0.713,167.986,206587,4
0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,238400,3
0.531,0.638,11,-5.145,0,0.0809,0.00409,0.0,0.0822,0.445,164.079,236898,4
0.391,0.784,4,-4.187,0,0.0415,0.000449,1.9e-06,0.154,0.115,143.963,261120,4
0.399,0.955,4,-5.593,0,0.163,0.00838,0.0,0.0759,0.152,95.498,266733,4
0.256,0.246,0,-21.403,1,0.049,0.901,0.297,0.578,0.639,62.102,134192,4
0.612,0.848,6,-3.736,1,0.0368,0.00916,0.0,0.366,0.719,120.996,212893,4
0.602,0.734,10,-9.575,0,0.0732,0.0348,1.07e-06,0.0693,0.772,109.731,185600,4
0.648,0.458,5,-15.169,1,0.0311,0.864,0.0944,0.366,0.0848,119.96,274693,4
0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,235800,4
0.474,0.923,9,-4.056,1,0.0373,0.01,6.58e-05,0.107,0.398,134.308,241200,4
