danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.568,0.695,-3.828,1,0.0294,0.0688,0.0,0.15,0.218,135.926,4,country,4
0.443,0.935,-4.168,1,0.0726,0.000692,0.0,0.141,0.504,108.933,4,pop,5
0.413,0.0679,-16.808,1,0.0508,0.992,0.936,0.124,0.106,146.346,3,classical,1
0.803,0.585,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,4,dance,3
0.611,0.774,-8.586,0,0.038,0.435,0.865,0.432,0.0817,138.466,4,techno,4
0.806,0.757,-8.308,1,0.0399,0.00105,0.907,0.0815,0.43,127.009,4,techno,4
0.626,0.475,-7.534,1,0.0267,0.413,0.0,0.22,0.201,124.133,3,country,3
0.628,0.833,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,4,techno,5
0.656,0.956,-3.635,1,0.0699,0.0362,0.0384,0.138,0.54,128.001,4,techno,5
0.403,0.12,-13.28,1,0.0441,0.831,0.00148,0.102,0.199,84.241,4,jazz,1
0.465,0.456,-6.603,0,0.0282,0.554,0.0,0.111,0.293,138.78,4,metal,3
0.662,0.629,-9.887,0,0.0442,0.293,0.906,0.0608,0.675,113.988,4,techno,4
0.123,0.261,-11.245,1,0.0288,0.718,0.0,0.14,0.136,82.062,3,jazz,2
0.226,0.108,-18.898,1,0.0396,0.988,0.865,0.0889,0.0766,119.878,4,classical,1
0.712,0.862,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,4,rock,5
0.628,0.877,-4.205,1,0.046,0.0155,5.97e-06,0.113,0.721,101.992,4,rock,5
0.291,0.147,-15.546,0,0.0407,0.989,0.0852,0.11,0.0874,176.188,4,acoustic,1
0.437,0.812,-7.12,1,0.0327,0.00897,0.0061,0.164,0.498,90.507,4,blues,5
0.609,0.674,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,4,rock,4
0.583,0.829,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,4,dance,5
0.642,0.47,-9.104,1,0.0302,0.71,2.07e-05,0.113,0.301,131.975,4,pop,3
0.184,0.0915,-20.03,0,0.0413,0.981,0.734,0.222,0.0387,119.375,3,classical,1
0.839,0.706,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,4,dance,4
0.484,0.0111,-36.334,1,0.0384,0.995,0.878,0.0556,0.2,121.708,4,classical,1
0.289,0.716,-6.53,0,0.106,0.0407,0.00123,0.135,0.344,168.049,4,rock,4
0.516,0.745,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006,3,country,4
0.702,0.795,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961,4,country,4
0.556,0.319,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4,pop,2
0.598,0.722,-7.744,1,0.0434,0.00971,6.18e-06,0.178,0.589,121.799,4,country,4
