danceability,key,mode,speechiness,liveness,tempo,time_signature,genre
0.458,0,1,0.0574,0.0756,123.229,4,metal
0.608,1,1,0.0525,0.184,104.398,4,metal
0.527,11,1,0.0769,0.0612,104.386,4,metal
0.437,0,1,0.039,0.108,178.085,4,metal
0.617,10,1,0.0509,0.143,125.018,4,metal
0.551,7,1,0.0898,0.219,138.064,4,metal
0.394,0,1,0.0295,0.239,207.575,4,metal
0.443,11,0,0.101,0.307,106.875,4,metal
0.551,0,1,0.0345,0.105,100.03,4,metal
0.344,1,1,0.0444,0.0665,111.671,4,metal
0.378,4,0,0.0271,0.117,102.379,4,metal
0.434,0,1,0.0488,0.612,148.726,4,pop
0.743,8,0,0.0953,0.0685,92.909,4,pop
0.494,4,1,0.0637,0.398,103.408,4,pop
0.713,5,0,0.102,0.149,138.009,4,pop
0.731,11,1,0.032,0.0861,104.019,4,pop
0.391,6,1,0.0692,0.0878,157.66,4,pop
0.759,0,0,0.0307,0.443,92.96,4,pop
0.689,6,0,0.027,0.148,99.039,4,pop
0.845,11,0,0.153,0.0764,127.641,4,pop
0.749,8,0,0.086,0.115,142.024,4,pop
0.645,4,0,0.036,0.119,90.565,4,pop
0.771,1,1,0.0567,0.0537,88.997,4,pop
0.537,9,1,0.0363,0.0998,124.269,4,pop
0.622,5,0,0.408,0.306,174.06,4,pop
0.52,0,1,0.0348,0.364,136.028,4,pop
0.633,1,1,0.166,0.137,175.716,4,pop
0.459,2,1,0.0364,0.206,155.827,4,pop
0.733,6,0,0.0366,0.468,96.085,4,pop
0.425,1,0,0.0476,0.0555,178.043,4,pop
0.51,11,1,0.347,0.5,201.936,4,pop
0.579,1,0,0.0693,0.115,152.002,4,pop
0.706,2,1,0.0654,0.07,121.549,4,pop
0.41,0,1,0.0302,0.117,138.852,4,pop
0.728,4,1,0.0368,0.109,113.76,4,pop
0.625,4,1,0.0495,0.174,94.661,4,pop
0.82,5,0,0.0549,0.35,130.992,4,pop
0.829,8,1,0.106,0.246,118.903,4,pop
0.636,3,0,0.0306,0.0642,93.896,4,pop
0.661,11,1,0.03,0.131,129.752,4,pop
0.722,1,0,0.0415,0.0694,79.981,4,pop
0.529,7,1,0.029,0.251,136.859,4,pop
0.61,9,1,0.0279,0.0884,85.031,4,pop
0.754,0,1,0.112,0.345,142.137,4,pop
0.541,2,1,0.0298,0.178,98.986,4,pop
0.524,1,1,0.37,0.349,200.031,4,pop
0.725,1,0,0.0427,0.0665,79.984,4,pop
0.612,6,0,0.406,0.417,99.137,4,pop
0.661,0,0,0.037,0.617,108.037,4,pop
0.748,0,0,0.0341,0.32,104.001,4,pop
0.427,4,1,0.0565,0.407,103.523,4,pop
0.659,11,0,0.0362,0.0829,125.556,4,pop
0.745,10,1,0.0259,0.102,95.996,4,pop
0.705,4,1,0.0506,0.194,92.186,4,pop
0.553,1,1,0.0374,0.0988,106.927,4,pop
0.709,0,1,0.037,0.11,140.993,3,pop
0.503,0,1,0.0743,0.744,91.464,4,pop
0.68,11,0,0.0353,0.109,94.02,4,pop
0.695,10,0,0.0418,0.103,125.013,4,pop
0.497,6,1,0.0266,0.411,95.769,4,pop
0.705,6,0,0.202,0.153,82.011,4,pop
0.434,0,1,0.0488,0.612,148.726,4,rock
0.592,9,0,0.027,0.127,96.483,4,rock
0.731,11,1,0.032,0.0861,104.019,4,rock
0.595,0,1,0.0295,0.108,88.969,4,rock
0.494,4,1,0.0637,0.398,103.408,4,rock
0.645,4,0,0.036,0.119,90.565,4,rock
0.465,4,1,0.0408,0.262,135.997,4,rock
0.391,6,1,0.0692,0.0878,157.66,4,rock
