danceability,key,mode,speechiness,liveness,tempo,time_signature
0.231,0,0,0.0332,0.17,141.628,3
0.462,6,0,0.0418,0.108,115.015,4
0.522,10,0,0.0431,0.135,154.997,4
0.662,2,0,0.03,0.166,127.97,4
0.558,11,0,0.0322,0.073,77.439,4
0.504,0,1,0.0529,0.187,135.013,4
0.591,2,1,0.0339,0.196,72.209,4
0.742,9,1,0.0486,0.108,75.004,4
0.658,4,0,0.0427,0.107,127.037,4
0.706,9,1,0.0452,0.0445,96.998,4
0.553,7,1,0.0318,0.0385,127.947,4
0.487,2,0,0.0798,0.231,110.02,4
0.574,10,0,0.0681,0.333,120.015,4
0.501,8,1,0.0455,0.118,127.314,4
0.545,1,1,0.0706,0.367,124.061,4
0.347,7,1,0.0287,0.679,174.119,4
0.579,7,1,0.0256,0.164,103.779,4
0.615,7,1,0.0304,0.213,155.278,4
0.499,9,0,0.0448,0.118,90.664,4
0.731,3,0,0.1,0.319,114.759,4
0.356,1,1,0.037,0.0983,84.661,3
0.352,3,1,0.0383,0.111,150.325,4
0.457,10,1,0.0345,0.153,112.068,3
0.276,7,1,0.0287,0.0758,183.167,4
0.235,2,0,0.28,0.0448,185.278,4
0.284,2,1,0.0347,0.0535,96.321,4
0.484,5,1,0.043,0.295,92.204,4
0.444,4,0,0.041,0.0862,150.319,4
0.644,11,1,0.0701,0.146,77.977,4
0.492,0,1,0.102,0.691,182.529,4
0.505,9,0,0.0297,0.125,95.505,3
0.503,3,1,0.0272,0.128,136.135,4
0.57,9,1,0.0323,0.178,103.303,4
0.803,9,0,0.0429,0.0566,125.99,4
0.831,1,0,0.165,0.0515,93.14,4
0.759,3,1,0.0262,0.0751,99.252,4
0.559,9,1,0.0721,0.0624,90.911,4
0.465,7,1,0.04,0.981,143.933,4
0.658,1,0,0.0326,0.951,134.798,4
0.281,1,0,0.067,0.262,120.016,4
0.803,1,0,0.0609,0.107,125.0,4
0.451,0,1,0.0449,0.172,118.219,4
0.851,1,0,0.0828,0.116,120.014,4
0.642,4,0,0.0291,0.186,79.994,3
0.429,4,0,0.0463,0.186,168.003,4
0.358,4,1,0.0485,0.121,155.482,4
0.563,9,1,0.0276,0.132,104.016,4
0.658,0,1,0.0554,0.133,108.774,4
0.425,6,1,0.0298,0.0963,83.917,4
0.415,1,1,0.0496,0.107,136.191,4
0.321,4,0,0.0362,0.09,104.311,4
0.637,11,1,0.0349,0.124,137.92,4
0.566,1,1,0.0242,0.109,89.528,4
0.623,0,1,0.0317,0.105,117.046,4
0.253,7,0,0.0523,0.103,74.497,3
0.519,9,1,0.0345,0.565,106.108,4
0.495,9,1,0.0288,0.109,101.89,4
0.571,7,1,0.0292,0.111,104.377,4
0.446,4,0,0.081,0.0878,101.8,5
0.465,2,0,0.0297,0.101,140.047,4
0.509,5,0,0.0424,0.157,143.897,3
0.762,1,0,0.0829,0.0866,142.096,4
0.34,8,1,0.0582,0.0699,172.022,4
0.781,4,0,0.0332,0.36,129.998,4
0.7,11,1,0.0408,0.0887,88.084,4
0.624,8,0,0.183,0.104,73.898,4
0.649,9,1,0.0248,0.233,89.855,4
0.602,7,1,0.0286,0.265,128.01,4
0.573,8,1,0.134,0.138,92.982,4
0.541,4,1,0.03,0.133,79.697,4
0.717,4,0,0.0339,0.0523,129.954,4
0.785,2,1,0.0419,0.0901,134.002,4
0.434,7,0,0.0367,0.126,127.997,4
0.718,2,0,0.0405,0.104,130.006,4
0.655,0,1,0.0309,0.159,120.781,4
0.525,0,1,0.0327,0.247,107.012,4
0.331,4,0,0.0362,0.0968,66.628,4
0.75,0,1,0.118,0.392,105.949,4
0.686,1,1,0.159,0.164,105.0,4
0.496,5,1,0.0282,0.105,131.682,4
0.779,1,1,0.0287,0.109,106.466,4
0.23,7,1,0.0445,0.0906,89.965,4
0.706,11,0,0.234,0.262,143.931,4
0.339,5,1,0.0723,0.397,106.566,4
0.445,11,1,0.0298,0.27,129.022,4
0.451,6,1,0.0379,0.0712,118.086,5
0.812,11,1,0.0524,0.0972,119.992,4
0.678,11,1,0.0602,0.104,76.935,4
0.351,7,1,0.059,0.227,115.945,5
0.523,1,1,0.0374,0.243,141.982,4
0.367,1,0,0.0475,0.193,88.904,4
0.588,0,0,0.0334,0.227,144.069,4
0.49,6,1,0.0314,0.103,166.199,4
0.287,9,1,0.0541,0.09,145.703,4
0.412,11,1,0.0701,0.177,85.824,4
0.661,7,1,0.0314,0.0849,130.077,4
0.538,1,0,0.0658,0.332,130.018,4
0.633,5,0,0.0339,0.342,90.08,4
0.525,7,1,0.0323,0.146,110.045,4
0.543,0,1,0.0368,0.145,76.978,4
0.424,2,1,0.0425,0.0719,111.762,4
0.765,7,0,0.0406,0.0889,111.982,4
0.545,6,0,0.0868,0.148,170.058,4
0.492,11,1,0.0703,0.11,144.363,4
0.622,6,1,0.07,0.292,141.929,4
0.555,2,1,0.0295,0.0869,147.613,4
0.405,5,1,0.0392,0.0958,120.807,4
0.606,0,1,0.0423,0.0419,100.979,4
0.743,2,1,0.0401,0.0949,124.004,4
0.652,9,0,0.289,0.19,171.52,4
0.238,4,0,0.136,0.26,170.128,4
0.557,6,1,0.0384,0.113,143.88,4
0.58,6,0,0.0313,0.0959,101.89,4
0.918,10,0,0.0791,0.139,128.008,4
0.251,1,0,0.116,0.79,154.134,4
0.438,10,0,0.108,0.359,131.306,4
0.462,5,1,0.0486,0.126,110.828,4
0.491,9,1,0.0361,0.294,118.179,4
0.636,3,0,0.0306,0.0642,93.896,4
0.103,2,0,0.0505,0.131,174.453,3
0.723,2,1,0.0407,0.115,129.097,4
0.47,1,0,0.0939,0.212,130.055,4
0.712,6,1,0.0297,0.0905,105.024,4
0.636,1,1,0.0581,0.0933,119.995,4
0.677,7,1,0.0361,0.413,137.046,4
0.374,7,1,0.114,0.0794,182.961,3
0.632,9,0,0.0359,0.0647,136.169,4
0.605,2,1,0.0496,0.12,119.836,4
0.501,5,0,0.0672,0.696,98.371,4
0.404,2,1,0.107,0.0742,177.793,4
0.589,2,1,0.0365,0.149,131.951,4
0.636,2,1,0.0263,0.0831,113.98,4
0.429,7,0,0.0549,0.115,78.809,1
0.831,1,0,0.0984,0.0955,99.994,4
0.752,5,0,0.0644,0.0415,128.057,4
0.358,4,1,0.0485,0.121,155.482,4
0.219,9,0,0.0346,0.0934,57.439,4
0.437,0,1,0.0369,0.0845,140.478,4
0.409,1,0,0.0524,0.622,183.981,4
0.386,2,1,0.0346,0.341,126.602,4
0.542,5,0,0.0361,0.116,108.286,4
0.812,0,1,0.0421,0.0661,130.093,4
0.407,7,1,0.0629,0.34,147.001,4
0.461,0,1,0.0444,0.973,80.773,4
0.543,2,1,0.0439,0.21,83.992,4
0.412,11,0,0.291,0.306,185.571,4
0.663,0,1,0.0395,0.233,129.983,4
0.233,0,0,0.0517,0.715,88.137,4
0.937,7,1,0.04,0.105,115.028,4
0.499,7,1,0.0621,0.0555,89.038,4
0.681,9,0,0.0324,0.0873,99.482,4
0.644,11,0,0.0456,0.233,106.031,4
0.509,8,1,0.072,0.0749,128.0,4
0.76,0,1,0.0491,0.278,127.029,4
0.805,4,1,0.0584,0.099,126.143,4
0.445,11,1,0.0328,0.0595,74.049,4
0.558,0,1,0.0545,0.528,90.064,4
0.667,3,1,0.0294,0.116,135.975,4
0.364,6,1,0.0453,0.121,84.899,1
0.616,5,1,0.119,0.203,126.462,4
0.685,8,1,0.0452,0.0905,125.004,4
0.242,4,0,0.0988,0.833,159.37,4
0.647,0,1,0.029,0.0777,110.059,4
0.644,7,1,0.0305,0.27,98.746,4
0.522,1,1,0.0297,0.0964,82.85,4
0.626,5,0,0.0451,0.0989,158.516,4
0.395,1,1,0.375,0.134,162.361,4
0.599,0,0,0.0899,0.193,113.201,4
0.708,2,1,0.0388,0.0896,111.988,4
0.539,7,1,0.0321,0.127,73.703,4
0.669,4,1,0.038,0.117,91.972,4
0.552,4,0,0.229,0.132,161.548,4
0.578,7,1,0.044,0.284,125.603,4
0.608,0,1,0.0475,0.0629,88.059,4
0.651,7,1,0.166,0.13,144.146,4
0.796,2,1,0.0346,0.274,121.904,4
0.366,11,0,0.0568,0.267,82.305,3
0.4,0,1,0.0365,0.596,125.529,4
0.616,10,1,0.0266,0.0989,142.689,4
0.622,5,1,0.066,0.13,140.025,4
0.303,9,1,0.0266,0.0922,99.638,3
0.37,7,1,0.112,0.953,95.0,4
0.727,7,1,0.0743,0.596,106.021,4
0.533,2,1,0.154,0.487,174.002,4
0.575,1,1,0.168,0.351,125.44,4
0.577,2,1,0.0563,0.602,133.973,4
0.375,11,1,0.036,0.371,136.319,5
0.277,3,1,0.0338,0.126,100.66,3
0.465,4,1,0.0408,0.262,135.997,4
0.569,8,1,0.0452,0.173,100.998,4
0.393,5,0,0.0272,0.26,98.053,4
0.625,7,1,0.0334,0.0346,103.026,4
0.489,4,1,0.0274,0.179,83.457,3
0.485,3,1,0.0355,0.092,89.956,4
0.515,9,0,0.0336,0.129,83.541,4
0.649,1,0,0.181,0.751,153.645,4
0.505,0,1,0.0475,0.069,130.121,4
0.718,5,0,0.0323,0.0846,92.998,4
0.491,11,1,0.0436,0.176,190.614,4
0.662,5,1,0.118,0.0465,86.412,4
0.443,0,1,0.101,0.191,76.497,4
0.686,8,0,0.23,0.142,172.976,4
0.431,0,0,0.0616,0.502,147.108,4
0.859,8,1,0.192,0.0651,98.989,4
0.689,2,1,0.074,0.0843,99.954,4
0.555,0,1,0.0269,0.0662,105.987,4
0.317,7,1,0.0385,0.168,118.508,4
0.636,9,0,0.035,0.0851,120.837,4
0.45,5,1,0.0717,0.707,80.102,4
0.591,10,1,0.27,0.68,121.319,4
0.23,6,1,0.0351,0.262,102.777,3
0.511,11,0,0.0379,0.422,130.077,4
0.418,5,1,0.0964,0.112,78.521,5
0.52,1,1,0.0302,0.122,105.711,4
0.484,2,1,0.0535,0.0601,205.981,4
0.506,7,1,0.0403,0.0882,92.024,4
0.467,11,0,0.0298,0.169,137.884,4
0.67,0,0,0.0538,0.385,124.031,4
0.863,7,1,0.0405,0.0651,124.846,4
0.684,5,1,0.0307,0.263,97.956,4
0.449,10,1,0.0508,0.235,180.156,4
0.567,7,0,0.0351,0.104,124.949,4
0.255,0,1,0.0323,0.0976,84.611,4
0.41,4,0,0.0467,0.116,185.727,3
0.651,7,1,0.109,0.131,93.175,4
0.656,11,0,0.0435,0.304,130.448,4
0.486,5,0,0.0287,0.109,138.015,4
0.768,2,1,0.0315,0.081,103.621,4
0.58,2,1,0.0405,0.0933,137.97,4
0.41,10,0,0.376,0.156,100.041,4
0.591,10,1,0.0366,0.142,118.024,4
0.372,9,1,0.0305,0.287,123.735,3
0.314,4,0,0.0908,0.161,154.221,4
0.826,10,0,0.147,0.0656,93.572,4
0.206,4,0,0.0469,0.228,172.338,3
0.381,10,0,0.141,0.143,179.987,4
0.575,4,1,0.0746,0.0692,123.821,4
0.767,1,0,0.0384,0.32,112.012,4
0.203,3,0,0.049,0.113,88.582,4
0.714,11,1,0.0263,0.0819,91.99,4
0.557,11,0,0.0268,0.156,104.636,4
0.573,2,1,0.0413,0.126,125.983,4
0.642,6,0,0.0256,0.296,135.502,4
0.702,1,1,0.0298,0.178,94.084,4
0.678,7,1,0.0394,0.0742,104.952,4
0.658,10,0,0.0409,0.13,87.991,4
0.641,6,1,0.0346,0.11,98.035,4
0.488,0,1,0.0311,0.0837,145.875,4
0.246,5,1,0.0307,0.105,94.946,3
0.534,11,0,0.0425,0.241,126.019,4
0.459,7,1,0.0267,0.168,139.902,3
0.628,6,0,0.0496,0.051,97.856,4
0.605,1,0,0.0307,0.112,100.005,4
0.255,2,1,0.0307,0.544,106.02,3
0.763,5,0,0.0468,0.0403,125.009,4
0.672,8,1,0.0422,0.362,78.005,4
0.553,8,1,0.0339,0.126,122.023,4
0.743,8,0,0.0953,0.0685,92.909,4
0.404,2,1,0.108,0.138,131.768,5
0.813,7,1,0.0881,0.154,100.491,4
0.763,0,1,0.0312,0.522,107.979,4
0.592,2,1,0.036,0.0903,138.564,4
0.546,7,0,0.0523,0.118,182.12,4
0.494,7,1,0.174,0.571,140.017,4
0.57,1,1,0.0326,0.0552,144.027,4
0.645,7,1,0.036,0.103,180.132,4
0.76,0,1,0.0491,0.278,127.029,4
0.163,7,1,0.0451,0.0908,84.642,3
0.678,1,1,0.0953,0.108,181.898,4
0.438,2,1,0.0452,0.3,100.99,3
0.618,2,1,0.0526,0.0829,119.949,4
0.546,7,0,0.0523,0.118,182.12,4
0.369,10,0,0.0931,0.249,98.162,4
0.642,2,1,0.374,0.505,128.088,4
0.581,11,1,0.0981,0.139,129.992,4
0.753,9,0,0.138,0.328,124.023,4
0.547,7,1,0.0264,0.653,83.62,4
0.531,3,0,0.0652,0.361,107.036,4
0.636,6,1,0.0288,0.0971,111.874,4
0.538,4,1,0.0318,0.237,150.553,4
0.664,1,1,0.0707,0.0926,130.041,4
0.54,6,1,0.0873,0.423,148.798,4
0.681,6,1,0.049,0.109,135.939,4
0.783,9,1,0.0795,0.229,113.988,4
0.756,5,1,0.0541,0.66,109.902,4
0.759,0,0,0.0307,0.443,92.96,4
0.16,1,1,0.0393,0.0558,132.408,4
0.523,1,0,0.03,0.106,145.837,4
0.381,0,0,0.0472,0.0842,123.663,4
0.58,9,0,0.0676,0.108,128.942,4
0.0667,7,0,0.0464,0.179,73.283,4
0.641,2,1,0.0786,0.0862,146.078,4
0.611,5,1,0.0707,0.0956,125.03,4
0.573,0,1,0.129,0.111,97.085,4
0.653,11,0,0.0502,0.203,83.97,4
0.158,7,0,0.0458,0.0874,106.244,3
0.229,7,0,0.0329,0.211,90.495,4
0.69,7,1,0.0753,0.115,99.997,4
0.702,1,1,0.0568,0.0505,83.961,4
0.784,9,1,0.364,0.0358,96.842,4
0.761,7,1,0.058,0.127,77.112,4
